day,hour,branch,n,load_mae_base,load_mae_adaptive,pv_mae_base,pv_mae_adaptive,energy_buffer_kwh,actual_peak_error_kwh,energy_covered,interval_covered,calibration_paths
31,0,historical-frozen,144,259.68048136574066,32.14831697848723,24.311924272486774,10.645159011243386,17440.958269999996,0.0,1,144,27
31,0,published-frozen,144,259.68048136574066,32.14831697848723,75.03911006944445,48.14025011455252,18319.1093611111,1330.8426602099003,1,144,27
31,0,published-adjustable,36,148.50440588624332,28.54338441408816,0.0013828703703703702,0.0008972812010026287,2338.421186666667,0.0,1,36,27
31,6,published-adjustable,36,340.0950684689153,25.779430504493696,150.3767930555555,102.95668937932446,9207.667039999998,3199.7437919313143,1,36,27
31,12,published-adjustable,36,368.2111731481482,18.200851465863018,110.97510324074075,65.95635341147047,2700.0926133333332,0.0,1,36,27
31,18,published-adjustable,36,181.91127795965602,25.78404664955366,0.0014805555555555553,0.0008807008422383756,3173.2555966666673,15.420602229321162,1,36,27
32,0,historical-frozen,144,59.73899850777121,31.367378017900087,32.999846135085996,15.149890211640209,17440.958269999996,10.527408305838776,1,144,27
32,0,published-frozen,144,59.73899850777121,31.367378017900087,58.111494907407405,41.2474123185172,18319.1093611111,372.33838153344516,1,144,27
32,0,published-adjustable,36,18.05285090939156,26.937995772407422,0.001315740740740741,0.0008079261495023834,2338.421186666667,10.527408305838776,1,36,27
32,6,published-adjustable,36,78.48334909060853,20.133316926370757,125.62081203703701,83.50485489776773,9207.667039999998,2573.287305018055,1,36,27
32,12,published-adjustable,36,99.4700996362434,17.521738721199764,125.60654722222223,86.01078382593839,2700.0926133333332,0.0,1,36,27
32,18,published-adjustable,36,42.949694394841316,17.311531859417183,0.0012796296296296297,0.0006589067655978568,3173.2555966666673,270.5777291768326,1,36,27
33,0,historical-frozen,144,67.29463789682544,23.133286674380432,25.614455807705035,12.703263773148146,16388.947325,36.670352987204865,1,144,27
33,0,published-frozen,144,67.29463789682544,23.133286674380432,60.74999837962962,37.06439747916339,17589.70753666667,834.0687452454899,1,144,27
33,0,published-adjustable,36,21.794751868386253,23.54887235536346,0.0009310185185185185,0.00041750800175291994,1641.1816972222227,36.670352987204865,1,36,27
33,6,published-adjustable,36,94.58290778769856,18.383726592744022,120.62720694444448,79.71140849497121,7887.9864166666675,2767.4925301763096,1,36,27
33,12,published-adjustable,36,101.89913483796295,23.097043541971594,103.36950231481484,59.628344807432285,2253.3887583333344,16.568621570842538,1,36,27
33,18,published-adjustable,36,50.90175709325401,20.342132287379293,0.0009486111111111111,0.0003344018817205202,2359.292688888889,41.47541131976527,1,36,27
34,0,historical-frozen,144,61.67877870783736,32.480530186416416,12.974087590939154,16.73435697751322,992.6428262028314,33.925166666666655,1,139,27
34,0,published-frozen,144,61.67877870783736,32.480530186416416,70.46852592592593,44.42342971396092,4042.769263030238,514.8311417300165,1,141,27
34,0,published-adjustable,36,16.90355393518523,31.025541235768678,0.00041018518518518514,9.706341516998063e-05,474.3208658738339,33.925166666666655,1,35,27
34,6,published-adjustable,36,81.44632073412706,25.798250703268636,92.46950046296294,71.62145223987861,3844.6786796646848,2272.9958813277276,1,35,27
34,12,published-adjustable,36,101.46348665674606,23.34888567607355,97.50792037037041,50.03133988618591,280.40850539160215,0.0,1,34,27
34,18,published-adjustable,36,46.901753505291055,23.89327400162374,0.00041342592592592586,0.0001901442378492239,787.8538523687023,51.21607203735664,1,34,27
35,0,historical-frozen,144,64.20306824156751,25.758954520639357,18.61974835482805,14.326344361772495,981.4450550706988,124.17661181688959,1,140,27
35,0,published-frozen,144,64.20306824156751,25.758954520639357,66.16008622685186,47.079837033468955,3744.851349716061,2622.2428469699917,1,138,27
35,0,published-adjustable,36,23.829105059523844,17.180423631405084,0.000225,0.00024529277456773627,447.51646852398596,124.17661181688959,1,35,27
35,6,published-adjustable,36,86.81214755291012,31.10335244300582,97.28420138888889,77.87665594906377,3199.743791931314,2026.9618427361204,1,34,27
35,12,published-adjustable,36,98.30630471230162,21.385319084967975,108.26902731481483,69.17448211568583,183.3711255249782,186.11577828626878,0,35,27
35,18,published-adjustable,36,47.86471564153443,17.996930822134644,0.00023194444444444445,0.0003235775010553126,628.9655652947099,82.6234387490556,1,36,27
36,0,historical-frozen,144,69.62472662863762,27.7378804661568,17.87312306134261,10.643997172619045,981.4450550706988,62.4289708984486,1,142,27
36,0,published-frozen,144,69.62472662863762,27.7378804661568,82.67892835648146,52.11945982649532,3744.851349716061,156.5504976780992,1,142,27
36,0,published-adjustable,36,21.732647585978874,29.636951125635775,6.388888888888888e-05,0.0004435920239655033,447.51646852398596,62.4289708984486,1,35,27
36,6,published-adjustable,36,90.96961984126993,18.910201182146253,109.15111712962961,71.26409600010687,3199.743791931314,1961.907481023754,1,33,27
36,12,published-adjustable,36,114.13863748346563,17.783894872016347,103.21907037037037,63.08296921627953,183.3711255249782,340.13431240917805,0,33,27
36,18,published-adjustable,36,51.658001603836034,20.65934634130018,4.537037037037037e-05,0.0005145219391655048,628.9655652947099,2.8423666666667486,1,35,27
37,0,historical-frozen,144,251.86906661706345,30.259604368090816,35.8894527405754,26.327833878968246,981.4450550706988,0.0,1,143,27
37,0,published-frozen,144,251.86906661706345,30.259604368090816,80.20870925925925,59.43396853686873,3744.851349716061,373.4158615305249,1,143,27
37,0,published-adjustable,36,143.59023948412693,32.10543463881598,0.00018518518518518518,0.0004918787267344196,335.245169388225,0.0,1,36,27
37,6,published-adjustable,36,335.5425093584656,26.33233970815616,96.28296481481478,74.44124320072325,3199.743791931314,1786.8309546667751,1,36,27
37,12,published-adjustable,36,353.9302746362433,18.298350623944152,126.15263842592594,97.60221327619278,186.11577828626866,0.0,1,36,27
37,18,published-adjustable,36,174.413242989418,16.35812617365879,0.00024305555555555558,0.000596934372572051,628.9655652947099,394.0020841493737,1,32,27
38,0,historical-frozen,144,254.50385882523148,20.435042802285004,30.098676698908736,19.457846048280434,981.4450550706988,0.0,1,142,27
38,0,published-frozen,144,254.50385882523148,20.435042802285004,63.1186659722222,39.81507464170865,3744.851349716061,2407.3823561840322,1,142,27
38,0,published-adjustable,36,147.32048644179892,19.16015719802184,0.00039305555555555556,0.0006055890453320452,335.245169388225,0.0,1,36,27
38,6,published-adjustable,36,337.95228578042327,27.286862447469694,135.42960509259254,90.00688944514796,3199.743791931314,2213.949116929295,1,35,27
38,12,published-adjustable,36,353.674040376984,18.13287570244884,108.97072500000002,65.44771280633725,280.40850539160215,53.73792710920486,1,36,27
38,18,published-adjustable,36,179.06862270171956,22.835142173888634,0.0003805555555555556,0.0006099855912858877,628.9655652947099,1.5068749999999227,1,35,27
39,0,historical-frozen,144,67.30439778439157,17.433775754416914,20.820104356812177,18.105049173280424,981.4450550706988,406.06259973153897,1,135,27
39,0,published-frozen,144,67.30439778439157,17.433775754416914,41.56065601851851,27.55405666936072,3744.851349716061,738.4884694280895,1,142,27
39,0,published-adjustable,36,21.287528637566183,18.46338304326206,0.0006129629629629629,0.0007317818081956618,335.245169388225,0.0,1,35,27
39,6,published-adjustable,36,95.33072356150797,16.877710045011558,94.8513550925926,63.33052859182726,3199.743791931314,2295.974306454148,1,32,27
39,12,published-adjustable,36,103.12288072089953,26.797451858027372,117.64209861111112,62.759395352336405,280.40850539160215,3.700128800535822,1,36,27
39,18,published-adjustable,36,49.47645821759258,13.393023531330975,0.0005601851851851852,0.0006875852900461727,628.9655652947099,30.085469607669097,1,36,27
40,0,historical-frozen,144,67.32731121031748,24.04091974354163,46.7200529100529,33.28960694444444,981.4450550706988,0.0,1,144,27
40,0,published-frozen,144,67.32731121031748,24.04091974354163,57.82668958333333,42.294211038625704,3744.851349716061,318.64290581310286,1,143,27
