开始时间,结束时间,最近决策节点,实际光伏,原始报告光伏,历史光伏,旧融合光伏,优化节点光伏,优化滚动光伏,旧光伏高估误差,优化节点光伏高估误差,优化滚动光伏高估误差,实际负荷,节点负荷预测,滚动负荷预测,节点负荷误差,滚动负荷误差,实际净负荷,旧节点净负荷预测,优化节点净负荷预测,优化滚动净负荷预测,旧节点净负荷低估,优化节点净负荷低估,优化滚动净负荷低估
2025-02-01T00:10:00,2025-02-01T00:20:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0303666666667,438.81306766760304,438.45534583333324,16.782701000936356,16.42497916666656,422.0303666666667,438.81306766760304,438.81306766760304,438.45534583333324,-16.782701000936356,-16.782701000936356,-16.42497916666656
2025-02-01T00:20:00,2025-02-01T00:30:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.4073166666667,436.37479619184273,435.6691524999999,20.96747952517603,20.26183583333318,415.4073166666667,436.37479619184273,436.37479619184273,435.6691524999999,-20.96747952517603,-20.96747952517603,-20.26183583333318
2025-02-01T00:30:00,2025-02-01T00:40:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.7166666666667,436.632359048205,429.6373083333333,25.915692381538292,18.920641666666597,410.7166666666667,436.632359048205,436.632359048205,429.6373083333333,-25.915692381538292,-25.915692381538292,-18.920641666666597
2025-02-01T00:40:00,2025-02-01T00:50:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.29479999999995,457.5029731904826,448.80079416666666,27.208173190482626,18.50599416666671,430.29479999999995,457.5029731904826,457.5029731904826,448.80079416666666,-27.208173190482626,-27.208173190482626,-18.50599416666671
2025-02-01T00:50:00,2025-02-01T01:00:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.4105833333333,466.51842341893683,452.9436408333334,42.10784008560353,28.533057500000098,424.4105833333333,466.51842341893683,466.51842341893683,452.9436408333334,-42.10784008560353,-42.10784008560353,-28.533057500000098
2025-02-01T01:00:00,2025-02-01T01:10:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0516666666667,463.4415834096056,444.4653166666667,57.38991674293891,38.41365000000002,406.0516666666667,463.4415834096056,463.4415834096056,444.4653166666667,-57.38991674293891,-57.38991674293891,-38.41365000000002
2025-02-01T01:10:00,2025-02-01T01:20:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.7501833333333,476.32244757157594,455.2925091666667,39.57226423824261,18.542325833333393,436.7501833333333,476.32244757157594,476.32244757157594,455.2925091666667,-39.57226423824261,-39.57226423824261,-18.542325833333393
2025-02-01T01:20:00,2025-02-01T01:30:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.7976833333333,468.86709789903483,446.8803333333333,17.06941456570155,-4.917349999999999,451.7976833333333,468.86709789903483,468.86709789903483,446.8803333333333,-17.06941456570155,-17.06941456570155,4.917349999999999
2025-02-01T01:30:00,2025-02-01T01:40:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.08,452.5262558182414,430.25305000000003,6.446255818241411,-15.826949999999954,446.08,452.5262558182414,452.5262558182414,430.25305000000003,-6.446255818241411,-6.446255818241411,15.826949999999954
2025-02-01T01:40:00,2025-02-01T01:50:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.7663333333333,477.46070319622567,455.57122,5.6943698628923585,-16.195113333333325,471.7663333333333,477.46070319622567,477.46070319622567,455.57122,-5.6943698628923585,-5.6943698628923585,16.195113333333325
2025-02-01T01:50:00,2025-02-01T02:00:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.02596666666665,494.00180334468456,473.5922249999999,45.97583667801791,25.56625833333328,448.02596666666665,494.00180334468456,494.00180334468456,473.5922249999999,-45.97583667801791,-45.97583667801791,-25.56625833333328
2025-02-01T02:00:00,2025-02-01T02:10:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.40333333333336,486.73893368586994,466.0658166666666,89.33560035253657,68.66248333333323,397.40333333333336,486.73893368586994,486.73893368586994,466.0658166666666,-89.33560035253657,-89.33560035253657,-68.66248333333323
2025-02-01T02:10:00,2025-02-01T02:20:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0906333333333,490.0645575806002,467.38425500000005,55.97392424726689,33.29362166666675,434.0906333333333,490.0645575806002,490.0645575806002,467.38425500000005,-55.97392424726689,-55.97392424726689,-33.29362166666675
2025-02-01T02:20:00,2025-02-01T02:30:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.5609166666666,498.11994281851764,474.5280266666667,7.559026151851015,-16.032889999999952,490.5609166666666,498.11994281851764,498.11994281851764,474.5280266666667,-7.559026151851015,-7.559026151851015,16.032889999999952
2025-02-01T02:30:00,2025-02-01T02:40:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.22,499.4546001040474,475.62021666666675,-3.765399895952612,-27.599783333333278,503.22,499.4546001040474,499.4546001040474,475.62021666666675,3.765399895952612,3.765399895952612,27.599783333333278
2025-02-01T02:40:00,2025-02-01T02:50:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0728166666667,492.7778907048412,468.70768250000003,18.705074038174473,-5.365134166666678,474.0728166666667,492.7778907048412,492.7778907048412,468.70768250000003,-18.705074038174473,-18.705074038174473,5.365134166666678
2025-02-01T02:50:00,2025-02-01T03:00:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.38439999999997,495.9155132628215,471.61594083333335,34.53111326282152,10.231540833333383,461.38439999999997,495.9155132628215,495.9155132628215,471.61594083333335,-34.53111326282152,-34.53111326282152,-10.231540833333383
2025-02-01T03:00:00,2025-02-01T03:10:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.94166666666666,508.55270310127014,482.47076666666663,31.611036434603477,5.529099999999971,476.94166666666666,508.55270310127014,508.55270310127014,482.47076666666663,-31.611036434603477,-31.611036434603477,-5.529099999999971
2025-02-01T03:10:00,2025-02-01T03:20:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.39955000000003,512.8085973614035,484.2463583333334,29.409047361403452,0.8468083333333425,483.39955000000003,512.8085973614035,512.8085973614035,484.2463583333334,-29.409047361403452,-29.409047361403452,-0.8468083333333425
2025-02-01T03:20:00,2025-02-01T03:30:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.6019166666667,511.69235763520555,481.8001183333333,25.09044096853887,-4.801798333333409,486.6019166666667,511.69235763520555,511.69235763520555,481.8001183333333,-25.09044096853887,-25.09044096853887,4.801798333333409
2025-02-01T03:30:00,2025-02-01T03:40:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.84833333333336,506.9093584279571,476.81187500000004,8.061025094623744,-22.036458333333314,498.84833333333336,506.9093584279571,506.9093584279571,476.81187500000004,-8.061025094623744,-8.061025094623744,22.036458333333314
2025-02-01T03:40:00,2025-02-01T03:50:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.3097333333334,499.02232561722235,468.7252208333334,-19.287407716111034,-49.58451249999996,518.3097333333334,499.02232561722235,499.02232561722235,468.7252208333334,19.287407716111034,19.287407716111034,49.58451249999996
2025-02-01T03:50:00,2025-02-01T04:00:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.13346666666666,509.47473657506293,480.10245416666663,0.3412699083962707,-29.03101250000003,509.13346666666666,509.47473657506293,509.47473657506293,480.10245416666663,-0.3412699083962707,-0.3412699083962707,29.03101250000003
2025-02-01T04:00:00,2025-02-01T04:10:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.6166666666666,527.2687994535693,499.8189999999999,43.652132786902655,16.202333333333286,483.6166666666666,527.2687994535693,527.2687994535693,499.8189999999999,-43.652132786902655,-43.652132786902655,-16.202333333333286
2025-02-01T04:10:00,2025-02-01T04:20:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.1868,519.4628758004685,491.82941583333326,28.276075800468504,0.6426158333332523,491.1868,519.4628758004685,519.4628758004685,491.82941583333326,-28.276075800468504,-28.276075800468504,-0.6426158333332523
2025-02-01T04:20:00,2025-02-01T04:30:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.64528333333334,514.8992048382323,489.92246583333343,10.253921504898983,-14.722817499999906,504.64528333333334,514.8992048382323,514.8992048382323,489.92246583333343,-10.253921504898983,-10.253921504898983,14.722817499999906
2025-02-01T04:30:00,2025-02-01T04:40:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.5783333333333,526.7736577401041,505.88719166666675,21.195324406770794,0.3088583333334327,505.5783333333333,526.7736577401041,526.7736577401041,505.88719166666675,-21.195324406770794,-21.195324406770794,-0.3088583333334327
2025-02-01T04:40:00,2025-02-01T04:50:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.2309666666667,539.394455236465,515.5586883333333,36.16348856979829,12.327721666666605,503.2309666666667,539.394455236465,539.394455236465,515.5586883333333,-36.16348856979829,-36.16348856979829,-12.327721666666605
2025-02-01T04:50:00,2025-02-01T05:00:00,2025-02-01T00:00:00,0.00023333333333333333,0.0,0.00023095238095238095,8.251872983756647e-05,0.00023095238095238095,0.00023095238095238095,-0.00015081460349576685,-2.380952380952382e-06,-2.380952380952382e-06,502.84698333333336,547.4542093849501,521.8785458333334,44.60722605161675,19.031562500000064,502.84675000000004,547.4541268662202,547.4539784325691,521.8783148809524,-44.60737686622022,-44.60722843256911,-19.031564880952423
2025-02-01T05:00:00,2025-02-01T05:10:00,2025-02-01T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.64166666666665,546.4732411710656,520.7377333333334,46.831574504398986,21.09606666666673,499.64166666666665,546.4732411710656,546.4732411710656,520.7377333333334,-46.831574504398986,-46.831574504398986,-21.09606666666673
