window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,66325.815795,23329.110760,13567.865206,103222.791762,38340.639010,34825.209882,66210.015268,6400.486641,145776.350801,,
natural_day,2025-01-02,94565.508317,1446.639023,2517.337193,98529.484533,60762.657761,1751.888929,12770.567992,992.624819,76277.739501,,
result_row,2025-01-01,67211.620241,23329.110760,13567.865206,104108.596207,38719.408991,34825.209882,66210.015268,6400.486641,146155.120782,,
result_row,2025-01-02,94295.820538,1446.639023,2517.337193,98259.796754,60647.339267,1751.888929,12770.567992,992.624819,76162.421007,,
