window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,61741.911348,0.000000,34593.627183,96335.538532,36083.404525,0.000000,179234.253560,0.000000,215317.658085,,
natural_day,2025-01-02,97171.055027,0.000000,1564.563286,98735.618313,61958.593550,0.000000,8383.022164,0.000000,70341.615714,,
result_row,2025-01-01,62381.205428,0.000000,34593.627183,96974.832611,36356.766673,0.000000,179234.253560,0.000000,215591.020233,,
result_row,2025-01-02,97147.877614,0.000000,1564.563286,98712.440900,61948.682889,0.000000,8383.022164,0.000000,70331.705053,,
