abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
1380,2025-01-01 23:00:00,18.208766676666635,1399.8737666666666,548.3316666666666,4912.324384596112,5662.3243845861125,749.99999999,False,True
1500,2025-01-02 01:00:00,23.81166667666684,1464.5016666666668,607.3566666666666,8523.264180415965,9273.264180406964,749.999999991,False,True
1530,2025-01-02 01:30:00,5.5833333433332575,1469.5466666666666,630.63,9331.352016838964,10081.352016828963,749.99999999,False,True
1580,2025-01-02 02:20:00,3.640838886667658,660.0496641666666,655.2810166666666,10798.984972239,10799.999999991,1.0150277519991462,True,False
1590,2025-01-02 02:30:00,50.94643332523297,726.9431,675.9966666666667,10799.999999991,10799.999999991,0.0,True,False
1600,2025-01-02 02:40:00,11.3821274918997,705.5457941666666,694.1636666666666,10799.999999991,10799.999999991,0.0,True,False
1610,2025-01-02 02:50:00,8.228122491899716,686.1335558333334,677.9054333333333,10799.999999991,10799.999999991,0.0,True,False
1620,2025-01-02 03:00:00,50.969283325232915,704.2092833333332,653.24,10799.999999991,10799.999999991,0.0,True,False
1630,2025-01-02 03:10:00,23.38607182523308,701.4399051666667,678.0538333333333,10799.999999991,10799.999999991,0.0,True,False
1640,2025-01-02 03:20:00,19.549379658566387,709.6292463333333,690.0798666666666,10799.999999991,10799.999999991,0.0,True,False
1650,2025-01-02 03:30:00,40.57256665856651,717.4259000000001,676.8533333333332,10799.999999991,10799.999999991,0.0,True,False
1730,2025-01-02 04:50:00,23.66902215547152,731.618785,678.2314166666666,10773.253488430924,10799.999999991,26.746511560075664,True,False
1740,2025-01-02 05:00:00,73.53449999189976,745.3595,671.8249999999999,10799.999999991,10799.999999991,0.0,True,False
1750,2025-01-02 05:10:00,11.918337325233058,722.4108873333333,710.4925499999999,10799.999999991,10799.999999991,0.0,True,False
1760,2025-01-02 05:20:00,16.779733158566366,738.5311665,721.7514333333334,10799.999999991,10799.999999991,0.0,True,False
1770,2025-01-02 05:30:00,73.52628332523304,765.04795,691.5216666666666,10799.999999991,10799.999999991,0.0,True,False
1780,2025-01-02 05:40:00,77.74004540329828,766.1291454113986,688.3891,10799.999999991,10799.999999991,0.0,True,False
1800,2025-01-02 06:00:00,18.031796925925384,921.7435666666667,901.9316666666666,10798.397907224333,10799.999999991,1.6020927666671874,True,False
2870,2025-01-02 23:50:00,44.8186833433333,1449.5190166666666,571.367,6457.493466088176,7207.493466079176,749.999999991,False,True
2880,2025-01-03 00:00:00,129.5966666766667,1449.45,486.52,7207.493466079176,7957.493466069176,749.99999999,False,True
2890,2025-01-03 00:10:00,103.63155834333348,1429.3567083333335,492.3918166666666,7957.493466069176,8707.493466060176,749.999999991,False,True
2900,2025-01-03 00:20:00,25.67928475535893,1352.4476514120256,493.4350333333333,8707.493466060176,9457.493466051175,749.999999991,False,True
2930,2025-01-03 00:50:00,158.99984167666662,1432.2888583333333,439.95568333333335,9770.518806858176,10520.518806849175,749.999999991,False,True
2950,2025-01-03 01:10:00,74.6411205268608,661.7422545833333,483.7801833333333,10707.011144340175,10799.999999991,92.98885565082529,True,False
2960,2025-01-03 01:20:00,145.25141715856634,667.0932505,521.8418333333333,10799.999999991,10799.999999991,0.0,True,False
2970,2025-01-03 01:30:00,957.2849999918998,1466.755,509.47,10799.999999991,10799.999999991,0.0,True,False
2980,2025-01-03 01:40:00,151.37733790856637,638.6342045833334,487.25686666666667,10799.999999991,10799.999999991,0.0,True,False
2990,2025-01-03 01:50:00,167.62312774189976,657.7323444166667,490.1092166666666,10799.999999991,10799.999999991,0.0,True,False
3000,2025-01-03 02:00:00,174.6354166585663,682.50375,507.86833333333334,10799.999999991,10799.999999991,0.0,True,False
3010,2025-01-03 02:10:00,158.757961075233,658.8619110833333,500.10395,10799.999999991,10799.999999991,0.0,True,False
3020,2025-01-03 02:20:00,190.73997232523297,667.4945556666667,476.75458333333336,10799.999999991,10799.999999991,0.0,True,False
3030,2025-01-03 02:30:00,244.92649999189982,711.6098333333334,466.6833333333333,10799.999999991,10799.999999991,0.0,True,False
3040,2025-01-03 02:40:00,218.0518020752331,710.2671854166667,492.2153833333333,10799.999999991,10799.999999991,0.0,True,False
3050,2025-01-03 02:50:00,165.35372607523308,692.1880760833334,526.83435,10799.999999991,10799.999999991,0.0,True,False
3060,2025-01-03 03:00:00,139.5232416585662,688.5232416666665,549.0,10799.999999991,10799.999999991,0.0,True,False
3070,2025-01-03 03:10:00,142.12851007523304,699.91767675,557.7891666666667,10799.999999991,10799.999999991,0.0,True,False
3080,2025-01-03 03:20:00,145.10947115856638,710.2057545,565.0962833333333,10799.999999991,10799.999999991,0.0,True,False
3090,2025-01-03 03:30:00,136.1890833252331,707.2924166666667,571.1033333333332,10799.999999991,10799.999999991,0.0,True,False
3100,2025-01-03 03:40:00,131.92303799189958,694.5697879999999,562.64675,10799.999999991,10799.999999991,0.0,True,False
3110,2025-01-03 03:50:00,169.28775174189954,703.3226850833332,534.0349333333334,10799.999999991,10799.999999991,0.0,True,False
3120,2025-01-03 04:00:00,197.74322499189984,723.5998916666667,525.8566666666666,10799.999999991,10799.999999991,0.0,True,False
