abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
338280,2025-08-23 22:00:00,138.74988096238087,1541.8548809523809,569.7716666666666,5011.095602659538,5761.095602649538,749.99999999,False,True
338290,2025-08-23 22:10:00,189.9951744147619,1545.2712077380952,521.9427,5761.095602649538,6511.095602639538,749.99999999,False,True
338310,2025-08-23 22:30:00,108.25755953380984,1555.2992261904765,613.7083333333333,6666.927193880538,7416.927193870538,749.99999999,False,True
338320,2025-08-23 22:40:00,121.9151631052383,1551.6051964285716,596.3566999999999,7416.927193870538,8166.927193860538,749.99999999,False,True
338340,2025-08-23 23:00:00,80.04092442983982,1540.1025910865064,626.7283333333332,8270.924010994395,9020.924010985394,749.999999991,False,True
338370,2025-08-23 23:30:00,133.3211904861904,1535.482857142857,568.8283333333333,9248.634747753109,9998.634747743108,749.99999999,False,True
339730,2025-08-24 22:10:00,0.16460298619062202,1542.679836309524,709.1819,1933.2960000021112,2683.2959999921113,749.99999999,False,True
339870,2025-08-25 00:30:00,6.40095239095239,1533.8259523809525,694.0916666666667,7738.566301580143,8488.566301570143,749.99999999,False,True
341190,2025-08-25 22:30:00,5.180000010000177,1555.2350000000001,716.7216666666666,2644.9786403412545,3394.9786403312546,749.99999999,False,True
342630,2025-08-26 22:30:00,53.1113095338095,1553.9896428571428,667.545,2609.578752914276,3359.578752904276,749.99999999,False,True
342640,2025-08-26 22:40:00,0.5742762004758709,1549.039076190476,715.1314666666667,3359.578752904276,4109.578752894276,749.99999999,False,True
345520,2025-08-28 22:40:00,55.18805893857154,1545.8941255952382,657.3727333333333,3284.8158592875498,4034.81585927755,749.99999999,False,True
345610,2025-08-29 00:10:00,140.35222441476162,1535.0116077380949,561.3260499999999,5967.994028855827,6717.994028845827,749.99999999,False,True
345620,2025-08-29 00:20:00,119.19472143857125,1527.5065047619046,574.97845,6717.994028845827,7467.9940288358275,749.99999999,False,True
345630,2025-08-29 00:30:00,170.50285715285725,1527.3878571428572,523.5516666666666,7467.9940288358275,8217.994028826828,749.999999991,False,True
345830,2025-08-29 03:50:00,85.58395238654124,643.9216232142858,517.7713,10763.49026624603,10799.999999991,36.50973374497008,True,False
345840,2025-08-29 04:00:00,80.03303570618547,638.4463690476191,558.4133333333333,10799.999999991,10799.999999991,0.0,True,False
345850,2025-08-29 04:10:00,80.03237677761396,631.5016601190476,551.4692833333334,10799.999999991,10799.999999991,0.0,True,False
345860,2025-08-29 04:20:00,111.07649701570912,632.6421636904761,521.5656666666666,10799.999999991,10799.999999991,0.0,True,False
345870,2025-08-29 04:30:00,124.27089284904238,637.1775595238094,512.9066666666666,10799.999999991,10799.999999991,0.0,True,False
345880,2025-08-29 04:40:00,90.00181784904252,630.5559845238095,540.5541666666666,10799.999999991,10799.999999991,0.0,True,False
345890,2025-08-29 04:50:00,99.14171308713762,622.9960797619046,523.8543666666667,10799.999999991,10799.999999991,0.0,True,False
345900,2025-08-29 05:00:00,81.86210237285215,547.1337690476191,465.27166666666665,10799.999999991,10799.999999991,0.0,True,False
345910,2025-08-29 05:10:00,88.59675356332804,541.4635369047617,452.8667833333333,10799.999999991,10799.999999991,0.0,True,False
345920,2025-08-29 05:20:00,58.400532729994985,546.029049404762,487.62851666666666,10799.999999991,10799.999999991,0.0,True,False
345930,2025-08-29 05:30:00,31.284185706185532,545.9858523809525,514.7016666666666,10799.999999991,10799.999999991,0.0,True,False
345940,2025-08-29 05:40:00,876.7281541585663,1358.6117375,481.8835833333333,10799.999999991,10799.999999991,0.0,True,False
