problem,full_year_intervals,full_year_cost_yuan,full_year_purchase_kwh,full_year_paid_disposal_kwh,template_days,template_cost_yuan,template_paid_disposal_kwh,final_soc_kwh
problem2,52560,31836587.935554106,24816987.539317638,872503.8125856735,334,28738712.91434318,746755.1389260142,7926.154286898889
problem3,52560,25285163.704954073,25258267.708053946,929970.4297006575,334,22573189.326705717,802981.8387771434,7926.154286898889
problem4-2,52560,32366159.75567856,25000784.801277902,765180.2747915864,334,28660475.59167933,641771.2923932779,9474.936375443323
problem4-3,52560,26845216.72457912,25056360.037425563,769361.2195229316,334,23699434.388748612,645003.6007275982,9474.936375443323
