开始时间,日计划制定时间,计划负荷预测_kWh,计划光伏预测_kWh,实际负荷_kWh,实际光伏_kWh,实际净负荷_kWh,计划净负荷误差_kWh,执行时负荷预测_kWh,执行时光伏预测_kWh,执行时净负荷误差_kWh,段初SOC_kWh,段末SOC_kWh,实际存入_kWh,实际送达_kWh,弃光_kWh,弃购电_kWh,当段累计备用需求_送达kWh,窗口最大规划备用缺口_kWh,当段规划供电缺口_kWh,母线平衡残差_kWh,SOC递推残差_kWh
2025-02-01T06:20:00,2025-02-01T00:00:00,554.5936624583562,0.6327857142857142,533.9993499999999,0.6440166666666667,533.3553333333333,-20.6055434107372,527.5958458333332,0.6327857142857142,6.392273214285805,9637.588314828035,9044.97127780211,0.0,533.3553333233333,0.0,0.0,14836.96283333333,10658.028119999997,0.0,-1.0000007932831068e-08,-1.1368683772161603e-13
2025-02-01T06:30:00,2025-02-01T00:00:00,541.8785118135526,0.0,504.52,0.0,504.52,-37.35851181355258,515.8539166666666,0.0,-11.333916666666596,9044.97127780211,8484.393500035443,0.0,504.51999999,0.0,0.0,14712.446063333327,10658.028119999997,0.0,-1.0000007932831068e-08,3.410605131648481e-13
2025-02-01T06:40:00,2025-02-01T00:00:00,555.1125232862587,0.0,519.5536833333333,0.0,519.5536833333333,-35.55883995292538,527.8691433333333,0.0,-8.31546000000003,8484.393500035443,7907.111629676184,0.0,519.5536833233333,0.0,0.0,14576.253396666662,10658.028119999997,0.0,-1.0000007932831068e-08,-1.1368683772161603e-13
2025-02-01T06:50:00,2025-02-01T00:00:00,600.897770305686,10.585745238095237,566.415,14.934916666666666,551.4800833333333,-38.83194173425749,572.1618141666665,10.585745238095237,-10.095985595238053,7907.111629676184,7283.13821976666,0.0,561.5760689185713,10.095985585238054,0.0,14422.88634333333,10658.028119999997,0.0,0.0,-3.410605131648481e-13
2025-02-01T07:00:00,2025-02-01T00:00:00,640.5372979081709,46.04910714285714,608.7916666666666,56.75,552.0416666666666,-42.44652409864713,609.5662916666666,46.04910714285714,-11.475517857142876,7283.13821976666,6657.008014751316,0.0,563.5171845138095,11.475517847142896,0.0,14283.723546666663,10658.028119999997,0.0,0.0,3.410605131648481e-13
2025-02-01T07:10:00,2025-02-01T00:00:00,628.3318669739604,87.73469047619047,617.2140499999999,102.656,514.5580499999999,-26.039126497770027,597.2494649999999,87.73469047619047,5.043275476190459,6657.008014751316,5993.397498095761,0.0,597.2494649899999,82.69141499,0.0,14192.04171333333,10658.028119999997,0.0,-1.1368683772161603e-13,1.1368683772161603e-13
2025-02-01T07:20:00,2025-02-01T00:00:00,630.9970276287456,132.30115714285714,595.3964666666666,147.48791666666665,447.90854999999993,-50.78732048588856,599.8062816666666,132.30115714285714,-19.596574523809494,5993.397498095761,5473.947359747084,0.0,467.5051245138094,19.596574513809458,0.0,14139.287556666664,10658.028119999997,0.0,0.0,3.410605131648481e-13
2025-02-01T07:30:00,2025-02-01T00:00:00,658.3359968099918,178.89553571428573,579.5366666666666,190.11249999999998,389.4241666666667,-90.01629442903939,627.0398749999999,178.89553571428573,-58.72017261904753,5473.947359747084,5316.134486362737,0.0,142.03158604591232,190.11249999,0.0,14084.361653333332,10658.028119999997,0.0,0.0,1.7053025658242404e-13
2025-02-01T07:40:00,2025-02-01T00:00:00,653.5206666647853,226.37054047619048,609.0003666666667,231.34661666666665,377.65375,-49.49637618859478,618.7910391666668,226.37054047619048,-14.766748690476305,5316.134486362737,5131.9124730896365,0.0,165.79981194579094,215.29618813438563,0.0,14012.258819999997,10658.028119999997,0.0,0.0,1.7053025658242404e-13
2025-02-01T07:50:00,2025-02-01T00:00:00,634.2352546125791,275.22212380952385,640.2366833333333,279.07533333333333,361.16134999999997,2.1482191969447513,599.4059458333334,275.22212380952385,36.97752797619046,5131.9124730896365,4730.622084211859,0.0,361.16134998999996,0.0,0.0,13952.147536666662,10658.028119999997,0.0,-1.0000007932831068e-08,3.979039320256561e-13
