window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day,2025-02-10,79570.547448,1932.258210,865.989536,82368.795194,49373.223696,2122.583672,4142.632171,2008.003550,57646.443089,,
natural_day,2025-02-11,81693.321792,565.967067,1816.865739,84076.154598,50659.898786,565.641723,8823.747117,1110.969818,61160.257444,,
natural_day,2025-02-12,80779.224634,608.844194,1805.267228,83193.336056,49951.869107,759.122124,8758.115931,1569.737007,61038.844169,,
natural_day,2025-02-13,77560.026704,1816.216901,1087.716651,80463.960257,47869.767662,1827.049029,5343.163155,1109.224134,56149.203980,,
natural_day,2025-02-14,38916.766666,1129.852206,0.000000,40046.618873,20388.987805,1087.568085,0.000000,48.185108,21524.740998,,
natural_day,2025-02-15,38478.398708,1087.304154,0.000000,39565.702862,20198.025357,816.278979,0.000000,144.917519,21159.221855,,
natural_day,2025-02-16,78683.796608,651.931403,2655.795084,81991.523094,48387.591530,983.267774,12827.799484,1935.310937,64133.969725,,
natural_day,2025-02-17,77248.430662,366.128008,1194.152848,78808.711518,47361.559299,410.246929,5848.416996,2167.319977,55787.543202,,
natural_day,2025-02-18,75812.973854,3799.763408,315.802271,79928.539533,46870.536615,3865.800895,1491.097582,19.894543,52247.329636,,
natural_day,2025-02-19,74840.480832,3787.201769,1624.465431,80252.148033,46508.415805,3922.616618,7880.800345,148.935563,58460.768331,,
natural_day,2025-02-20,75965.600658,1593.833602,1992.148301,79551.582561,46565.243532,1745.701375,9719.813642,983.960205,59014.718754,,
natural_day,2025-02-21,36409.550196,356.076851,0.000000,36765.627046,19058.066436,587.021896,0.000000,16.322968,19661.411300,,
natural_day,2025-02-22,37628.507513,379.022098,0.000000,38007.529611,19694.549688,478.491898,0.000000,95.253454,20268.295040,,
natural_day,2025-02-23,75360.805563,1501.752432,1903.614766,78766.172761,46400.893993,1716.040377,9298.836040,248.326583,57664.096993,,
