abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
33080,2025-01-23 23:20:00,26.127370982101972,1419.086670972102,559.6259666666666,7244.705745666719,7994.705745657719,749.999999991,False,True
33090,2025-01-23 23:30:00,30.546257866495118,1462.621257856495,598.7416666666666,7994.705745657719,8744.705745648718,749.999999991,False,True
33100,2025-01-23 23:40:00,23.03832010755388,1472.5365200975539,616.1648666666666,8744.705745648718,9494.705745639718,749.999999991,False,True
33460,2025-01-24 05:40:00,10.427518193475855,1409.0090681834758,565.2482166666666,9712.326499060715,10462.326499050714,749.99999999,False,True
34140,2025-01-24 17:00:00,18.389655450655326,442.15465545965606,423.765,10799.99999999,10799.99999999,0.0,True,False
34190,2025-01-24 17:50:00,7.965971262705552,465.9500620043371,445.59731666666664,10788.851903323532,10799.999999991,11.148096667468414,True,False
34200,2025-01-24 18:00:00,37.28620876382954,462.1528754385965,424.8666666666666,10799.999999991,10799.999999991,0.0,True,False
34440,2025-01-24 22:00:00,38.221226383911464,1240.1695597072448,368.615,2502.315056296014,3252.315056286014,749.99999999,False,True
34450,2025-01-24 22:10:00,7.408755583208282,1235.729172239875,394.9870833333333,3252.315056286014,4002.3150562760143,749.99999999,False,True
34500,2025-01-24 23:00:00,39.406745650392615,1287.540078973726,414.8,6119.9582137488505,6869.958213738851,749.99999999,False,True
34520,2025-01-24 23:20:00,40.56224431332634,1267.9842943033264,394.08871666666664,7373.345967878097,8123.345967868097,749.99999999,False,True
34530,2025-01-24 23:30:00,71.73759145038399,1286.8559247737173,381.78499999999997,8123.345967868097,8873.345967858097,749.99999999,False,True
34540,2025-01-24 23:40:00,9.438096808097491,1269.1829134647642,426.4114833333333,8873.345967858097,9623.345967848096,749.99999999,False,True
35890,2025-01-25 22:10:00,9.797380117753612,1240.9884634410869,397.85774999999995,2619.6655284330345,3369.6655284240346,749.999999991,False,True
35910,2025-01-25 22:30:00,0.6321332256951485,1275.1621332156951,441.1966666666666,3394.7339835931307,4144.73398358413,749.999999991,False,True
35960,2025-01-25 23:20:00,25.46575560937753,1267.4147555993775,408.61566666666664,6876.598608152908,7626.598608143908,749.999999991,False,True
37110,2025-01-26 18:30:00,9.339646234350088,757.4178268414447,722.7716666666666,10777.224137444615,10799.999999991,22.775862546385174,True,False
37350,2025-01-26 22:30:00,27.216082436368872,1424.3727490930355,563.8233333333333,3978.898075946622,4728.898075936622,749.99999999,False,True
37360,2025-01-26 22:40:00,5.8371787672306175,1416.1743787572307,577.0038666666667,4728.898075936622,5478.898075926622,749.99999999,False,True
37380,2025-01-26 23:00:00,15.352120905097188,1426.6121208950972,577.9266666666666,6224.5629137511005,6974.562913741101,749.99999999,False,True
37400,2025-01-26 23:20:00,0.06910565315990086,1426.6050389764932,593.2026,7489.242283391922,8239.242283381922,749.99999999,False,True
38460,2025-01-27 17:00:00,22.575167857585352,1040.493501199921,1017.9183333333333,10799.999999989997,10799.999999989997,0.0,True,False
38470,2025-01-27 17:10:00,48.18326752964707,1049.6096675386493,1001.4264,10799.999999989997,10799.999999989997,0.0,True,False
38480,2025-01-27 17:20:00,21.130812025677574,1028.4580287013466,1007.3272166666667,10799.999999989997,10799.999999989997,0.0,True,False
39220,2025-01-28 05:40:00,41.63736076629175,1536.5846847439066,673.6523666666667,10060.834538410147,10799.99999999,739.1654615798533,True,False
39230,2025-01-28 05:50:00,71.61838527368694,794.3522519493542,722.7338666666666,10799.99999999,10799.99999999,0.0,True,False
39240,2025-01-28 06:00:00,26.22427575269635,905.9009424283638,879.6766666666667,10799.99999999,10799.99999999,0.0,True,False
40210,2025-01-28 22:10:00,7.736080352709215,1370.4850470093759,529.4156333333333,2744.012642464756,3494.012642455756,749.999999991,False,True
40230,2025-01-28 22:30:00,39.462625379683,1392.8492920363497,520.0533333333333,3527.6699492336984,4277.669949224698,749.999999991,False,True
40240,2025-01-28 22:40:00,2.321551551744384,1407.5177848750777,571.8629,4277.669949224698,5027.669949215698,749.999999991,False,True
40280,2025-01-28 23:20:00,6.232698064137359,1430.5846980541373,591.0186666666666,6961.0881322786,7711.0881322686,749.99999999,False,True
40300,2025-01-28 23:40:00,4.499189588106325,1441.6249229114396,603.7923999999999,8438.041661862224,9188.041661852223,749.99999999,False,True
40340,2025-01-29 00:20:00,0.9846565569786129,1424.984389880312,590.6664,9285.175398931884,10035.175398921883,749.99999999,False,True
40660,2025-01-29 05:40:00,4.701417517541131,1525.3321656324056,700.34295,10061.740981686622,10799.99999999,738.259018303378,True,False
41670,2025-01-29 22:30:00,48.52657131144826,1414.638237968115,532.7783333333333,3716.9389377884836,4466.938937778484,749.99999999,False,True
41680,2025-01-29 22:40:00,2.9755575772385248,1387.2235242339052,550.9146333333333,4466.938937778484,5216.938937768484,749.99999999,False,True
41700,2025-01-29 23:00:00,7.373223823732693,1412.991557147066,572.285,5949.87300135933,6699.8730013493305,749.99999999,False,True
41720,2025-01-29 23:20:00,7.318206325928933,1411.9290229825956,571.2774833333333,7201.869353677284,7951.8693536672845,749.99999999,False,True
41730,2025-01-29 23:30:00,0.6596058545474001,1401.266272511214,567.2733333333333,7951.8693536672845,8701.869353657285,749.99999999,False,True
42100,2025-01-30 05:40:00,4.5206918160317775,1527.4461418060318,689.5921166666667,9756.628694680447,10506.628694670446,749.99999999,False,True
43110,2025-01-30 22:30:00,41.097812407213716,1424.9978123972137,550.5666666666666,3285.0148779967494,4035.0148779867495,749.99999999,False,True
43120,2025-01-30 22:40:00,5.942148854869507,1408.6589988448695,569.3835166666667,4035.0148779867495,4785.01487797675,749.99999999,False,True
43130,2025-01-30 22:50:00,13.113962909194008,1403.711262899194,557.2639666666666,4785.01487797675,5535.01487796675,749.99999999,False,True
43140,2025-01-30 23:00:00,41.27381702556885,1407.0388170155688,532.4316666666666,5535.01487796675,6285.01487795675,749.99999999,False,True
43170,2025-01-30 23:30:00,12.912718227709426,1434.814384884376,588.5683333333333,7474.08149290705,8224.08149289705,749.99999999,False,True
43180,2025-01-30 23:40:00,23.845682432265896,1450.6562657555992,593.4772499999999,8224.08149289705,8974.08149288705,749.99999999,False,True
43540,2025-01-31 05:40:00,12.435472859742838,1397.7309561830762,551.96215,9873.476231681403,10623.476231671402,749.99999999,False,True
44530,2025-01-31 22:10:00,7.85131845097134,1228.385435107638,387.2007833333333,2865.9780466043976,3615.9780465953977,749.999999991,False,True
44550,2025-01-31 22:30:00,31.87441221646383,1262.8510788731305,397.6433333333333,3652.997343717278,4402.997343708278,749.999999991,False,True
44560,2025-01-31 22:40:00,30.959117067970617,1260.2764837246373,395.9840333333333,4402.997343708278,5152.997343699278,749.999999991,False,True
44570,2025-01-31 22:50:00,32.56569206184303,1256.9670587185096,391.0680333333333,5152.997343699278,5902.997343689278,749.99999999,False,True
44580,2025-01-31 23:00:00,25.89461881233455,1254.3396188023346,395.1116666666667,5902.997343689278,6652.997343679278,749.99999999,False,True
44950,2025-02-01 05:10:00,33.831507056774356,535.7293589393831,488.78358333333335,10788.197158295652,10799.99999999,11.802841694347883,True,False
44960,2025-02-01 05:20:00,38.44206882495514,536.9608188339558,498.51875,10799.99999999,10799.99999999,0.0,True,False
44970,2025-02-01 05:30:00,24.96422648903522,554.1875598313693,529.2233333333334,10799.99999999,10799.99999999,0.0,True,False
44980,2025-02-01 05:40:00,853.4438331074865,1400.8541497831538,547.4103166666666,10799.99999999,10799.99999999,0.0,True,False
44990,2025-02-01 05:50:00,25.349658005370664,556.5770580143713,531.2274,10799.99999999,10799.99999999,0.0,True,False
45960,2025-02-01 22:00:00,15.817984973879668,1241.236318297213,392.08500000000004,2284.2197560569693,3034.2197560469695,749.99999999,False,True
45970,2025-02-01 22:10:00,20.530513740036433,1225.6336637300365,371.76981666666666,3034.2197560469695,3784.2197560369696,749.99999999,False,True
45990,2025-02-01 22:30:00,76.8123145085459,1269.302314498546,359.15666666666664,3835.3092676053634,4585.309267595363,749.99999999,False,True
46000,2025-02-01 22:40:00,45.15024286413699,1260.534292854137,382.05071666666663,4585.309267595363,5335.309267585363,749.99999999,False,True
46040,2025-02-01 23:20:00,9.499921792843445,1243.7931217828434,400.95986666666664,7266.7715569495485,8016.771556939549,749.99999999,False,True
46050,2025-02-01 23:30:00,9.133745172448009,1252.4120784957813,409.945,8016.771556939549,8766.771556929549,749.99999999,False,True
46060,2025-02-01 23:40:00,34.57666635543978,1255.146699678773,387.2367,8766.771556929549,9516.771556919548,749.99999999,False,True
46420,2025-02-02 05:40:00,652.8906342324775,1528.1934019110986,633.4947,10582.372739079241,10799.99999999,217.627260910759,True,False
46430,2025-02-02 05:50:00,54.715907459446726,778.4979574684473,723.7820499999999,10799.99999999,10799.99999999,0.0,True,False
47430,2025-02-02 22:30:00,12.089569891827061,1387.019569881827,541.5966666666666,3285.3925067475234,4035.3925067375235,749.99999999,False,True
47440,2025-02-02 22:40:00,16.806119226820208,1396.6901192168202,546.5506666666666,4035.3925067375235,4785.392506727523,749.99999999,False,True
47450,2025-02-02 22:50:00,24.37014706814204,1401.6441803914754,543.9407,4785.392506727523,5535.392506717523,749.99999999,False,True
47460,2025-02-02 23:00:00,24.11060732796806,1398.985607317968,541.5416666666666,5535.392506717523,6285.392506707523,749.99999999,False,True
