window,date,plan_kwh,add_kwh,emergency_kwh,total_kwh,plan_cost_yuan,add_cost_yuan,emergency_cost_yuan,reduce_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
natural_day_partial_0010,2025-01-01,66515.134722,17604.762317,17349.514641,101469.411680,46461.960739,36581.274656,103943.308503,7420.530679,194407.074578,,
natural_day,2025-01-02,92690.185025,2071.472682,2303.697913,97065.355619,71591.589984,3203.802150,16155.263660,1332.795196,92283.450990,,
result_row,2025-01-01,66650.939168,17604.762317,17349.514641,101605.216125,46520.139364,36581.274656,103943.308503,7420.530679,194465.253202,,
result_row,2025-01-02,94003.830579,2071.472682,2303.697913,98379.001174,72121.018389,3203.802150,16155.263660,1332.795196,92812.879395,,
