abs_minute,interval_start,spill_kwh,grid_paid_kwh,demand_kwh,soc_start_kwh,soc_end_kwh,charge_kwh,capacity_limited,power_limited
326560,2025-08-15 18:40:00,215.74495118147559,871.0986511904762,655.3536999999999,10799.99999999,10799.99999999,0.0,True,False
327900,2025-08-16 17:00:00,336.5111690386182,936.031169047619,599.52,10799.99999999,10799.99999999,0.0,True,False
327910,2025-08-16 17:10:00,329.0185726100467,935.9317892857141,606.9132166666666,10799.99999999,10799.99999999,0.0,True,False
327920,2025-08-16 17:20:00,280.3912428481424,932.718942857143,652.3276999999999,10799.99999999,10799.99999999,0.0,True,False
327930,2025-08-16 17:30:00,294.65724046718964,940.333907142857,645.6766666666666,10799.99999999,10799.99999999,0.0,True,False
327940,2025-08-16 17:40:00,350.37150118147565,974.0750511904762,623.70355,10799.99999999,10799.99999999,0.0,True,False
327950,2025-08-16 17:50:00,260.1026624909994,896.4512291666667,636.3485666666666,10799.99999999,10799.99999999,0.0,True,False
327960,2025-08-16 18:00:00,210.63315475290355,878.2381547619043,667.605,10799.99999999,10799.99999999,0.0,True,False
327970,2025-08-16 18:10:00,195.7945035624278,855.9908202380952,660.1963166666667,10799.99999999,10799.99999999,0.0,True,False
327980,2025-08-16 18:20:00,210.2464761814753,871.262676190476,661.0162,10799.99999999,10799.99999999,0.0,True,False
327990,2025-08-16 18:30:00,175.33142856242776,865.8864285714285,690.555,10799.99999999,10799.99999999,0.0,True,False
328000,2025-08-16 18:40:00,152.2384035624286,870.6472869047626,718.4088833333333,10799.99999999,10799.99999999,0.0,True,False
332910,2025-08-20 04:30:00,3.9228571528569693,1474.207857142857,636.9516666666666,1392.1414011351817,2142.141401125182,749.99999999,False,True
336540,2025-08-22 17:00:00,283.72775714174134,921.1796738095236,617.77,10782.286274989996,10799.999999991,17.713725001004047,True,False
336550,2025-08-22 17:10:00,283.68151427761387,922.0046809523808,638.3231666666666,10799.999999991,10799.999999991,0.0,True,False
336560,2025-08-22 17:20:00,255.11664225380466,922.8034422619048,667.6868,10799.999999991,10799.999999991,0.0,True,False
336570,2025-08-22 17:30:00,276.2695547538045,932.8128880952381,656.5433333333333,10799.999999991,10799.999999991,0.0,True,False
336580,2025-08-22 17:40:00,310.7901416585663,966.418275,655.6281333333333,10799.999999991,10799.999999991,0.0,True,False
336590,2025-08-22 17:50:00,222.9954827299949,881.8197327380952,658.8242499999999,10799.999999991,10799.999999991,0.0,True,False
336600,2025-08-22 18:00:00,198.40482142047134,867.7181547619049,669.3133333333333,10799.999999991,10799.999999991,0.0,True,False
336610,2025-08-22 18:10:00,150.3241577299946,849.246607738095,698.92245,10799.999999991,10799.999999991,0.0,True,False
336620,2025-08-22 18:20:00,170.70013272999492,868.4112160714285,697.7110833333332,10799.999999991,10799.999999991,0.0,True,False
336630,2025-08-22 18:30:00,203.13351189666147,865.3118452380951,662.1783333333333,10799.999999991,10799.999999991,0.0,True,False
336640,2025-08-22 18:40:00,226.25031249189973,873.2305791666668,646.9802666666667,10799.999999991,10799.999999991,0.0,True,False
337980,2025-08-23 17:00:00,314.61364284814186,942.0936428571426,627.48,10799.99999999,10799.99999999,0.0,True,False
337990,2025-08-23 17:10:00,325.3555892767136,943.5074226190477,618.1518333333333,10799.99999999,10799.99999999,0.0,True,False
338000,2025-08-23 17:20:00,290.2765029671898,944.4637863095238,654.1872833333333,10799.99999999,10799.99999999,0.0,True,False
338010,2025-08-23 17:30:00,280.09840475290383,954.1334047619046,674.035,10799.99999999,10799.99999999,0.0,True,False
338020,2025-08-23 17:40:00,350.65986368147526,988.4434970238091,637.7836333333332,10799.99999999,10799.99999999,0.0,True,False
338030,2025-08-23 17:50:00,279.53161963385696,906.9003696428575,627.36875,10799.99999999,10799.99999999,0.0,True,False
338040,2025-08-23 18:00:00,211.34089284814223,865.7375595238096,654.3966666666666,10799.99999999,10799.99999999,0.0,True,False
338050,2025-08-23 18:10:00,195.96537975290386,849.1968964285712,653.2315166666666,10799.99999999,10799.99999999,0.0,True,False
338060,2025-08-23 18:20:00,217.39364880052293,868.5714988095237,651.17785,10799.99999999,10799.99999999,0.0,True,False
338070,2025-08-23 18:30:00,201.79982141957075,863.1931547619048,661.3933333333333,10799.99999999,10799.99999999,0.0,True,False
338080,2025-08-23 18:40:00,203.80380475290403,871.037438095238,667.2336333333333,10799.99999999,10799.99999999,0.0,True,False
345850,2025-08-29 04:10:00,79.96265040106901,1464.7652670577359,551.4692833333334,4412.70299227711,5162.7029922681095,749.999999991,False,True
345910,2025-08-29 05:10:00,88.59675358142839,1374.796870238095,452.8667833333333,6113.3437535819985,6863.343753572998,749.999999991,False,True
345930,2025-08-29 05:30:00,31.284185724285855,1379.3191857142858,514.7016666666666,6915.904233028284,7665.904233019283,749.999999991,False,True
345940,2025-08-29 05:40:00,43.39482084333314,1358.6117375,481.8835833333333,7665.904233019283,8415.904233010284,749.9999999910001,False,True
346560,2025-08-29 16:00:00,2.022088086237409,720.6870880952381,718.665,10799.99999999,10799.99999999,0.0,True,False
